"employee_id","first_name","last_name","moonville_id","gender","birth_date","department_id","start_date","salary","is_supervisor"
1,"Robert","Cooper","N0349","M","1948-06-25",9,"2009-09-25",53152,"N"
2,"Jacqueline","Martinez","L3379","F","1958-09-14",9,"2013-09-27",49526,"N"
3,"Patrick","Ross","P9149","M","1987-06-24",4,"2018-01-24",55787,"N"
5,"Willie","Fisher","P0220","M","1990-01-30",9,"2020-05-25",43144,"N"
6,"Edward","Martin","O0666","M","1958-04-04",7,"2011-11-13",45833,"N"
7,"Emma","Bennett","B9830","F","1948-05-27",6,"2024-04-21",45200,"N"
8,"Alfred","Long","N9700","M","1963-02-10",5,"2021-09-13",45136,"N"
10,"Marvin","Robinson","W1890","M","1958-04-28",7,"2015-06-29",42050,"N"
11,"Mamie","Thompson","I7044","F","1978-06-11",8,"2009-12-12",42372,"N"
12,"Elijah","Howard","G6390","M","1967-08-13",1,"2017-02-02",39442,"N"
13,"Larry","Wright","D0872","M","1958-03-20",5,"2017-11-05",49108,"N"
14,"Philip","Wood","M8809","M","1991-07-23",4,"2013-06-19",59386,"N"
15,"Ralph","Lewis","E4981","M","1950-06-28",1,"2019-11-21",37863,"N"
16,"Addison","Sanchez","U0259","F","2002-10-21",6,"2018-06-15",50521,"N"
17,"Kaylee","Cruz","H9864","F","1996-02-24",3,"2014-01-05",56664,"N"
18,"Patricia","Lewis","J5674","F","1992-10-04",1,"2022-12-24",33723,"N"
19,"John","Jenkins","I0292","M","1959-07-23",4,"2024-07-03",51109,"N"
20,"Jason","Sanchez","K8179","M","1985-01-21",5,"2022-07-19",45087,"N"
21,"Eddie","Howard","E8975","M","1985-08-27",6,"2005-12-27",59082,"N"
22,"Sebastian","Adams","C3731","M","1994-07-14",7,"2019-08-03",39543,"N"
23,"Tina","Kelly","U7942","F","1987-11-15",3,"2016-02-07",54702,"N"
24,"Horace","Martin","C1279","M","1995-05-28",1,"2019-12-09",37296,"N"
27,"Mildred","Ward","Q9559","F","1956-07-01",4,"2016-04-14",57231,"N"
28,"Michele","Rivera","L2017","F","1997-10-09",9,"2022-05-13",42536,"N"
29,"Lizzie","Rogers","A2245","F","1977-10-30",6,"2018-01-09",50814,"N"
30,"Eleanor","Anderson","I3180","F","1952-11-11",6,"2009-10-18",57227,"N"
32,"Bailey","Fisher","U8369","F","2005-05-03",7,"2012-07-22",45980,"N"
33,"Leon","Garcia","E7981","M","1969-02-28",9,"2018-08-27",46411,"N"
35,"Mildred","Morris","J2193","F","1961-11-17",8,"2015-04-11",37840,"N"
36,"Glenn","Green","U5842","M","1954-05-16",6,"2013-04-10",53856,"N"
37,"Paul","Wood","A9876","M","1955-12-07",4,"2015-08-20",57424,"N"
38,"Heather","Lopez","U4938","F","1959-10-17",4,"2014-02-17",57653,"N"
39,"Daniel","Smith","L8171","M","1973-06-09",7,"2017-04-22",41549,"N"
40,"Ed","Young","L3405","M","1963-02-26",6,"2023-03-18",46484,"N"
41,"Mary","Turner","M0608","F","1979-01-07",8,"2012-01-02",40536,"N"
42,"Patrick","Reyes","Y7433","M","1948-11-12",4,"2017-05-21",55464,"N"
43,"Otto","Gutierrez","Z0036","M","1966-09-04",7,"2016-09-16",42775,"N"
44,"Matthew","Roberts","S0445","M","1980-07-06",7,"2020-02-24",38504,"N"
45,"Jordan","Russell","G3344","M","1972-03-29",9,"2018-12-17",44558,"N"
46,"Aurora","Murphy","B2797","F","1975-11-13",6,"2015-04-08",53574,"N"
