"moonville_id","first_name","last_name","gender","birth_date","is_customer","is_employee"
"A0041","Walter","Allen","M","1986-10-28","Y","N"
"A0213","Jesse","James","M","1963-11-13","Y","N"
"A0400","Walter","Wood","M","1969-01-23","Y","N"
"A0475","Nancy","Edwards","F","1969-03-30","Y","N"
"A0606","Chester","Cruz","M","1982-09-02","Y","N"
"A0612","Frances","Kelly","F","1956-09-24","Y","N"
"A1186","Ryan","Harris","M","1992-02-05","Y","N"
"A1189","Martha","Sullivan","F","2003-02-14","Y","N"
"A1392","Lula","Sanders","F","1990-11-28","Y","N"
"A1680","Andrew","Torres","M","1972-06-03","Y","N"
"A1809","Robert","Jones","M","2000-10-21","Y","N"
"A2245","Lizzie","Rogers","F","1977-10-30","N","Y"
"A2707","Don","Diaz","M","1957-01-17","Y","N"
"A2727","Cameron","Garcia","M","1946-12-15","Y","N"
"A2937","Molly","Miller","F","1954-06-04","Y","N"
"A3230","Cameron","Cook","M","1982-08-04","Y","N"
"A3804","Charles","Phillips","M","1970-11-15","Y","N"
"A4345","Ruth","Campbell","F","1976-12-03","Y","N"
"A4628","Carl","Jackson","M","1971-08-14","Y","N"
"A5378","Justin","Morgan","M","2004-07-14","Y","N"
"A5929","Raymond","Martinez","M","1967-11-18","Y","N"
"A5968","Benjamin","Ward","M","1994-02-23","Y","N"
"A6464","Dewey","Barnes","M","1994-01-06","Y","N"
"A6468","Terry","Nelson","M","1973-11-15","Y","N"
"A6664","Isabella","Nguyen","F","1977-06-01","Y","N"
"A7354","Jacob","Barnes","M","1995-05-11","Y","N"
"A7893","Terry","Smith","M","1948-12-12","Y","N"
"A8310","Elizabeth","Wilson","F","1949-02-07","Y","N"
"A8548","Mike","Reed","M","1951-03-02","Y","N"
"A9084","Horace","Williams","M","1959-12-18","Y","N"
"A9205","Phyllis","Price","F","2005-05-06","Y","N"
"A9242","Cynthia","Morris","F","2006-06-13","Y","N"
"A9332","Josephine","Williams","F","1988-01-18","Y","N"
"A9876","Paul","Wood","M","1955-12-07","Y","Y"
"B0838","Elizabeth","Thomas","F","1979-07-12","Y","N"
